irt_1000_2000_ms,irt_125_250_ms,irt_2000_4000_ms,irt_250_500_ms,irt_4000_8000_ms,irt_500_1000_ms,irt_max_ms,irt_mean_ms,name,sample_rate
401.98,209.46,47.56,188.71,52.17,240.6,401.98,190.08,001_typeb-voice__EVENT-009,48000
603.5,613.65,147.08,661.46,17.62,577.44,661.46,436.79,001_typeb-voice__EVENT-013,48000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,001_typeb-voice__EVENT-071,48000
32.58,31.88,0.0,36.4,0.0,20.5,36.4,20.23,001_typeb-voice__EVENT-074,48000
904.44,1382.23,1342.81,1491.54,452.54,1491.54,1491.54,1177.52,001_typeb-voice__EVENT-087,48000
360.38,356.94,298.02,254.5,346.92,350.25,360.38,327.83,001_typeb-voice__EVENT-097,48000
0.0,0.0,0.0,35.29,0.0,35.29,35.29,11.76,001_typeb-voice__EVENT-128,48000
0.0,0.0,0.0,35.29,0.0,35.29,35.29,11.76,001_typeb-voice__EVENT-129,48000
69.1,0.0,43.42,101.23,35.9,107.12,107.12,59.46,001_typeb-voice__EVENT-130,48000
545.1,0.0,316.0,172.02,234.75,204.42,545.1,245.38,002_shot01__EVENT-001,48000
314.1,0.0,110.69,0.0,0.0,150.38,314.1,95.86,002_shot01__EVENT-002,48000
472.23,0.0,191.5,0.0,98.1,229.23,472.23,165.18,003_shot02__EVENT-001,48000
272.75,59.04,137.81,121.08,71.17,0.0,272.75,110.31,004_shot03__EVENT-004,48000
526.98,530.02,620.79,699.0,245.71,613.73,699.0,539.37,006_shot05__EVENT-003,48000
1364.85,520.94,359.25,442.38,267.58,542.44,1364.85,582.91,006_shot05__EVENT-004,48000
403.08,0.0,108.52,0.0,0.0,105.5,403.08,102.85,006_shot05__EVENT-005,48000
229.88,0.0,47.48,0.0,0.0,0.0,229.88,46.23,007_shot06__EVENT-004,48000
229.88,0.0,47.48,0.0,0.0,0.0,229.88,46.23,007_shot06__EVENT-005,48000
161.94,0.0,115.33,0.0,0.0,158.6,161.94,72.65,008_shot07__EVENT-001,48000
106.48,0.0,104.38,0.0,0.0,154.46,154.46,60.89,009_shot08__EVENT-001,48000
227.65,0.0,0.0,0.0,0.0,281.35,281.35,84.83,010_shot09__EVENT-001,48000
293.44,0.0,105.62,0.0,0.0,480.83,480.83,146.65,011_shot010__EVENT-001,48000
0.0,0.0,89.48,0.0,78.98,82.29,89.48,41.79,012_shot011__EVENT-001,48000
1484.25,1111.88,1484.25,1484.25,544.4,1484.25,1484.25,1265.55,013_shot012__EVENT-003,48000
38.67,38.67,38.67,38.67,38.67,38.67,38.67,38.67,013_shot012__EVENT-006,48000
256.67,256.67,256.67,256.67,256.67,256.67,256.67,256.67,013_shot012__EVENT-007,48000
715.67,358.96,715.67,517.25,715.67,715.67,715.67,623.15,013_shot012__EVENT-008,48000
1464.67,358.96,1464.67,517.25,1464.67,902.25,1464.67,1028.74,013_shot012__EVENT-009,48000
201.56,28.23,115.79,26.44,54.21,196.1,201.56,103.72,014_shot013__EVENT-006,48000
201.56,28.23,115.79,26.44,54.21,196.1,201.56,103.72,014_shot013__EVENT-007,48000
201.56,28.23,115.79,26.44,54.21,196.1,201.56,103.72,014_shot013__EVENT-008,48000
1458.1,525.12,1458.1,987.02,1150.23,1458.1,1458.1,1172.78,015_shot014__EVENT-004,48000
785.27,708.83,1486.83,1060.69,719.52,990.96,1486.83,958.68,016_shot015__EVENT-001,48000
1461.62,448.58,1106.88,633.35,935.65,1461.62,1461.62,1007.95,016_shot015__EVENT-002,48000
